MainDataset,Title,date,classifier,RunType,cv,brt_nTrue,brt_nTop,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f1,mean_test_recall,mean_test_sensitivity,mean_test_specificity,mean_test_precision,mean_test_NPV,mean_test_PPV,brt_md,brt_params
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),3,100,42,,,0.8459929494712103,0.8307959568147443,0.9670419222524144,0.7991350063633754,0.6851601528063475,0.6851601528063475,0.9764317608231412,0.959326507281674,0.7928842768849902,0.959326507281674,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),3,1000,42,,,0.8492655699177438,0.8346642276023424,0.9690560757169907,0.804437083626965,0.6948574786952689,0.6948574786952689,0.9744709765094157,0.9564493728749778,0.7979467041236974,0.9564493728749778,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),6,100,42,,,0.885005875440658,0.8766540600232087,0.9711584751152855,0.8609645214908372,0.7965618571848369,0.7965618571848369,0.9567462628615804,0.9372751095584523,0.8532088050769875,0.9372751095584523,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),6,1000,42,,,0.8915334900117509,0.8837661197797712,0.9726726329440952,0.8697141008286519,0.8087863649720834,0.8087863649720834,0.9587458745874586,0.9409687423404509,0.8608444420716348,0.9409687423404509,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),10,100,42,,,0.9273149236192715,0.9248482715897041,0.9728248904819956,0.9173505174572126,0.9007934175727298,0.9007934175727298,0.9489031256066782,0.934732590428793,0.9218721377541674,0.934732590428793,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),10,1000,42,,,0.9316745005875442,0.9292577871467117,0.9743173184235158,0.9222860565688137,0.9056714663532176,0.9056714663532176,0.9528441079402057,0.9398813997455553,0.9258131895366682,0.9398813997455553,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),15,100,42,,,0.9338425381903643,0.93211627994142,0.9764258106334738,0.9253318259153962,0.9153100205700853,0.9153100205700853,0.9489225393127547,0.9357594460262465,0.9325459203648485,0.9357594460262465,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),15,1000,42,,,0.9360047003525264,0.9349797588011036,0.9764422635069163,0.9283074648928308,0.9249779606229798,0.9249779606229798,0.9449815569792273,0.9317330750282068,0.9394967899241271,0.9317330750282068,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),,100,42,,,0.9338425381903643,0.9334728147928446,0.9702765834136438,0.9264369644490038,0.9298266235674404,0.9298266235674404,0.9371190060182488,0.923196489662353,0.9427562833206398,0.923196489662353,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),,1000,42,,,0.9349236192714454,0.9346776340699531,0.9714946266022084,0.9277034780612989,0.9322362621216573,0.9322362621216573,0.9371190060182488,0.923412331508936,0.9446929475753005,0.923412331508936,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,LogisticRegression,Holdout,5,,,LogisticRegression(),,,,1000,,0.9023913043478261,0.8960731115721036,0.9507898149411144,0.8843885235377561,0.83538054657655,0.83538054657655,0.9567656765676567,0.9401078307861794,0.8778780995484571,0.9401078307861794,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,100,42,,0.1,0.9229905992949471,0.9197457956889707,0.9595544229277296,0.9118075472650895,0.8886276814575375,0.8886276814575375,0.9508639099204037,0.9364595492843328,0.9133018175608891,0.9364595492843328,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,1000,42,,0.1,0.9099823736780259,0.905921887758429,0.9559992915680221,0.8960316691582116,0.8668233911254776,0.8668233911254776,0.9450203843913803,0.9273920727285152,0.8975192173305381,0.9273920727285152,,T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 21:48:30.513965,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",6,100,42,,0.1,0.920828437132785,0.9182485585337501,0.9627952952768787,0.909970889930207,0.8934763444019982,0.8934763444019982,0.9430207726655018,0.9271747989469509,0.9161041009620993,0.9271747989469509,,T1000_itrr500_th100_topR5
